Местное время в Нижневартовске / им. В. И. Муравленко (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
05.04.2018 11:00;02.���;757.9;763.0;0.0;52;Ветер, дующий с юго-запада;7;;10;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-6.5;;;;;;
05.04.2018 8:00;-0.5;757.9;763.1;0.0;57;Ветер, дующий с юго-запада;7;10;;100%.; ;;;-1.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-8.0;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;75.0
05.04.2018 5:00;-0.9;757.9;763.1;-0.8;60;Ветер, дующий с юго-запада;7;10;12;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-7.8;;;;;;
05.04.2018 2:00;0.1;758.7;763.9;-0.2;57;Ветер, дующий с юго-запада;6;12;12;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-7.5;;;;;;
04.04.2018 23:00;01.���;758.9;764.1;-1.1;54;Ветер, дующий с юго-запада;8;12;14;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-6.6;;;;;;
04.04.2018 20:00;03.���;760.0;765.1;-1.5;52;Ветер, дующий с юго-запада;8;12;13;100%.; ;;;;04.���;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-5.9;Осадков нет;12;;;;
04.04.2018 17:00;04.���;761.5;766.6;-1.5;46;Ветер, дующий с юго-юго-запада;8;11;15;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-6.0;;;;;;
04.04.2018 14:00;01.���;763.0;768.3;-2.2;52;Ветер, дующий с юго-юго-запада;9;12;13;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-7.3;;;;;;
04.04.2018 11:00;-2.9;765.2;770.5;-3.5;41;Ветер, дующий с юга;6;;10;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-14.3;;;;;;
04.04.2018 8:00;-7.2;768.7;774.0;-1.9;44;Ветер, дующий с юга;5;;;100%.; ;;;-16.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-17.4;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;76.0
04.04.2018 5:00;-11.2;770.6;776.1;-0.8;50;Ветер, дующий с юга;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-19.6;;;;;;
04.04.2018 2:00;-13.6;771.4;777.0;0.1;50;Ветер, дующий с юго-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-21.8;;;;;;
03.04.2018 23:00;-15.8;771.3;776.9;0.2;60;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;20.0;-21.8;;;;;;
03.04.2018 20:00;-13.0;771.1;776.8;0.6;51;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-9.1;;;;;;20.0;-21.2;Осадков нет;12;;;;
03.04.2018 17:00;-9.3;770.5;775.9;01.���;49;Ветер, дующий с запада;4;;11;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-18.2;;;;;;
03.04.2018 14:00;-10.1;769.3;774.8;01.���;51;Ветер, дующий с запада;5;;10;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-18.5;;;;;;
03.04.2018 11:00;-13.6;768.1;773.7;01.���;60;Ветер, дующий с запада;4;;;Облаков нет.; ;;;;;;;;;;50.0;-19.7;;;;;;
03.04.2018 8:00;-16.2;766.8;772.3;02.���;70;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;-17.0;;;;;;;50.0;-20.4;1.0;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;76.0
03.04.2018 5:00;-15.4;764.2;769.7;04.���;70;Ветер, дующий с северо-северо-запада;3;;12;20–30%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-19.6;;;;;;
03.04.2018 2:00;-8.6;759.9;765.3;0.9;89;Ветер, дующий с севера;7;12;13;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;0.5;-10.1;;;;;;
02.04.2018 23:00;-9.2;759.0;764.4;-0.6;79;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-12.2;;;;;;
02.04.2018 20:00;-5.3;759.6;764.8;0.0;63;Ветер, дующий с запада;2;;;60%.; ;;;;-0.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-11.3;Осадков нет;12;;;;
02.04.2018 17:00;-1.1;759.6;764.8;0.5;50;Ветер, дующий с запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.4;;;;;;
02.04.2018 14:00;-1.2;759.1;764.3;0.1;51;Ветер, дующий с западо-юго-запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.1;;;;;;
02.04.2018 11:00;-14.7;759.0;764.2;0.4;;Ветер, дующий с юго-юго-запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;;;;;;;
02.04.2018 8:00;-10.8;758.6;764.4;-0.8;65;Ветер, дующий с юго-запада;5;;;Облаков нет.; ;;;-14.8;;;;;;;50.0;-16.1;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;76.0
02.04.2018 5:00;-13.8;759.4;764.8;-0.3;80;Ветер, дующий с юго-запада;3;;;50%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-16.5;;;;;;
02.04.2018 2:00;-10.3;759.7;765.1;-1.7;51;Ветер, дующий с юго-юго-запада;7;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-18.7;;;;;;
01.04.2018 23:00;-11.4;761.4;766.9;-1.3;50;Ветер, дующий с юго-запада;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-19.8;;;;;;
01.04.2018 20:00;-11.2;762.7;768.1;-0.9;45;Ветер, дующий с юго-запада;6;;;100%.; ;;;;-8.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-20.8;Осадков нет;12;;;;
01.04.2018 17:00;-8.8;763.6;769.0;-0.3;36;Ветер, дующий с западо-юго-запада;4;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-21.4;;;;;;
01.04.2018 14:00;-11.2;763.9;769.3;0.1;40;Ветер, дующий с западо-северо-запада;3;;;Облаков нет.; ;;;;;;;;;;50.0;-22.1;;;;;;
01.04.2018 11:00;-16.6;763.8;769.3;01.���;55;Ветер, дующий с запада;4;;;Облаков нет.; ;;;;;;;;;;50.0;-23.5;;;;;;
01.04.2018 8:00;-22.6;762.0;767.8;01.���;70;Ветер, дующий с запада;2;;;Облаков нет.; ;;;-25.4;;;;;;;50.0;-26.6;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;74.0
01.04.2018 5:00;-24.8;760.1;765.8;02.���;75;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;20.0;-28.0;;;;;;
01.04.2018 2:00;-22.8;757.9;763.6;01.���;70;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;20.0;-26.8;;;;;;
